,Ticker,Company,Market Cap,Sector,Industry,Country,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility M,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Scale (billion $),Labor Cost (billion $),Operating Leverage (DOL),C-Suite Diversity,Technological Enabler,ESG Score,Earnings,Price,Target Price
3901,IPDN,"Professional Diversity Network, Inc.",16.20M,Industrials,Staffing & Employment Services,USA,-,-,2.79,4.15,4.76,-,-,-,-,-,-,-,-25.30%,-,25.00%,32.00%,0.00%,1.50%,16.27%,2.38,-,-,-92.50%,1.1,1.1,0,0,81.10%,-47.70%,-,7.77%,-1.96%,-21.26%,-56.71%,2.42%,7.90%,4.03%,5.50%,-14.87%,-62.55%,44.68%,54.8,0.02,0.0,1.5,29,Industry 3.0,50.04,-,1.03,-
3913,IPWR,Ideal Power Inc.,53.53M,Industrials,Specialty Industrial Machinery,USA,-,-,89.22,2.37,2.31,-,-,-,63.50%,-24.40%,41.30%,25.00%,-18.80%,11.20%,-66.70%,1.80%,-9.13%,19.00%,0.64%,2.95,-17.20%,-18.40%,-19.70%,43.2,43.2,0,0,0.00%,-,-,12.30%,-27.72%,-34.53%,-25.10%,-22.80%,8.42%,10.21%,8.83%,-24.80%,-48.34%,40.45%,59.77,0.05,0.01,0.6,15,Industry 4.0,49.39,Mar 17/a,9.34,28
3927,IR,Ingersoll Rand Inc.,20.01B,Industrials,Specialty Industrial Machinery,USA,18.6,2.1,3.88,2.22,9.49,36.3,0.16%,1.50%,920.50%,13.20%,53.10%,18.80%,21.60%,54.60%,16.40%,0.10%,-19.82%,99.50%,0.84%,2.19,2.30%,4.00%,4.60%,2.8,2.2,0.38,0.38,38.60%,10.80%,7.00%,5.68%,-17.89%,-3.51%,-2.53%,-20.87%,2.76%,-0.87%,-5.29%,-8.29%,-21.63%,9.45%,43.32,20.01,4.62,0.8,19,Industry 4.0,50.57,Feb 23/a,49.09,62.64
3965,ISSC,"Innovative Solutions and Support, Inc.",139.86M,Industrials,Aerospace & Defense,USA,-,1.18,5.62,5.48,14.42,34.11,-,0.00%,53.90%,-,20.30%,20.00%,-3.80%,371.00%,36.70%,1.90%,0.00%,22.40%,-,0.34,22.70%,25.50%,20.30%,8.3,6.3,0,0,57.00%,20.60%,24.00%,5.56%,24.20%,17.58%,29.11%,24.39%,4.31%,1.95%,8.30%,16.24%,-4.59%,51.87%,56.41,0.14,0.05,1.2,33,Industry 4.0,70.57,Feb 09/a,8.11,-
3990,ITT,ITT Inc.,6.43B,Industrials,Specialty Industrial Machinery,USA,14.65,1.69,2.33,2.94,9.93,-,1.39%,22.50%,449.70%,15.56%,12.50%,12.60%,2.80%,766.10%,-3.30%,0.30%,-4.81%,95.80%,0.35%,2.68,8.60%,14.70%,12.90%,1.9,1.4,0,0.09,32.50%,18.20%,11.40%,-4.56%,-25.03%,-11.55%,-17.11%,-25.38%,2.87%,-3.65%,-11.10%,-19.19%,-28.75%,0.41%,37.16,6.43,1.7,1.4,31,Industry 4.0,57.97,Feb 09/a,75.2,108
3992,ITW,Illinois Tool Works Inc.,64.94B,Industrials,Specialty Industrial Machinery,USA,20.77,2.23,4.49,18.08,42.53,81.38,2.34%,54.30%,28.50%,10.05%,8.40%,11.03%,1.20%,-4.30%,5.90%,0.20%,-21.18%,81.60%,0.74%,4.74,17.10%,77.50%,25.20%,1.8,1.3,1.91,2.12,41.30%,24.10%,18.60%,-1.50%,-14.18%,0.44%,-6.38%,-15.34%,1.83%,-0.88%,-4.35%,-8.24%,-16.64%,2.68%,42.27,64.94,15.69,1.0,33,Industry 3.0,52.99,Feb 03/b,208.24,239.29
3999,IVAC,"Intevac, Inc.",141.02M,Industrials,Aerospace & Defense,USA,-,-,3.66,1.04,1.25,-,-,0.00%,-114.80%,105.20%,-21.40%,8.00%,-13.60%,-114.80%,-26.10%,2.70%,-2.21%,68.70%,1.38%,1.63,21.30%,25.80%,-17.20%,6.8,6.5,0,0,18.30%,-58.40%,69.10%,14.14%,0.17%,22.96%,-26.25%,21.66%,4.17%,8.55%,9.25%,8.92%,-29.52%,44.91%,64.69,0.14,0.04,1.0,30,Industry 4.0,63.98,Feb 09/a,5.7,7
4055,J,Jacobs Engineering Group Inc.,17.85B,Industrials,Engineering & Construction,USA,17.14,5.15,1.27,2.98,-,26.33,0.66%,36.80%,17.10%,15.11%,12.50%,12.33%,5.10%,-47.40%,0.00%,1.00%,-11.91%,86.50%,-1.05%,1.51,2.00%,4.90%,5.10%,1.4,1.4,0.51,0.52,22.80%,4.70%,2.10%,9.35%,0.24%,6.52%,6.03%,0.50%,2.36%,5.16%,9.91%,5.37%,-5.27%,24.15%,65.89,17.85,3.54,3.9,30,Industry 3.0,43.49,Feb 08/b,141.67,158.93
4061,JAN,JanOne Inc.,10.31M,Industrials,Waste Management,USA,-,-,0.27,3.67,14.73,-,-,-,-,-,26.11%,-,-0.20%,-,16.50%,17.72%,0.00%,4.10%,-73.79%,0.71,-,-,-,0.4,0.3,-,-,22.90%,-,-,24.30%,-15.75%,-43.25%,-60.16%,-13.69%,10.73%,0.16%,12.37%,-33.91%,-71.38%,53.51%,51.37,0.01,0.0,1.8,15,Industry 3.0,45.05,-,3.52,4
4065,JBHT,"J.B. Hunt Transport Services, Inc.",20.55B,Industrials,Integrated Freight & Logistics,USA,18.41,0.88,1.69,5.97,57.79,135.26,0.90%,16.30%,50.60%,10.75%,13.40%,28.04%,13.20%,57.90%,27.70%,2.40%,-0.40%,75.20%,0.71%,2.15,11.80%,26.30%,18.30%,1.3,1.3,0.3,0.42,16.90%,8.60%,6.30%,-13.11%,-12.24%,7.04%,4.62%,-13.34%,3.64%,-15.29%,-12.72%,-7.21%,-20.85%,11.33%,25.79,20.55,4.89,3.7,33,Industry 3.0,52.18,Jan 18/a,172.69,217.43
4066,JBI,"Janus International Group, Inc.",1.36B,Industrials,Building Products & Equipment,USA,13.01,-,2.65,5.93,148.28,-,-,-,-748.40%,28.78%,-,-,-,123.90%,33.80%,6.50%,0.00%,81.20%,4.29%,1.97,-2.20%,-6.40%,-,1.3,1,3.44,3.47,33.90%,-,-2.90%,-6.49%,-26.18%,-24.65%,-32.64%,-27.48%,5.12%,-4.28%,-8.40%,-27.05%,-43.98%,3.48%,42.06,1.36,0.27,3.8,20,Industry 4.0,43.81,Mar 15/b,8.93,14
4068,JBLU,JetBlue Airways Corporation,4.75B,Industrials,Airlines,USA,10.13,-,0.79,1.22,1.67,3.06,-,-,88.30%,124.30%,-17.80%,-,-1.70%,69.00%,177.00%,0.30%,-1.34%,79.70%,0.48%,1.39,-1.30%,-4.80%,0.00%,1,0.9,0.95,1.04,64.20%,-1.30%,-3.00%,11.13%,-0.14%,-9.21%,-30.92%,3.09%,4.28%,0.63%,-2.26%,-5.51%,-35.72%,24.14%,47.09,4.75,1.29,2.6,17,Industry 4.0,59.53,Jan 27/b,14.11,16.35
4070,JBT,John Bean Technologies Corporation,3.74B,Industrials,Specialty Industrial Machinery,USA,19.94,2.19,2,5.14,47.43,23.54,0.33%,10.80%,8.80%,25.70%,10.10%,14.90%,6.70%,5.00%,13.20%,0.80%,-2.91%,-,-0.92%,4.61,6.00%,16.80%,8.80%,1.3,0.9,0.9,0.9,30.30%,8.60%,6.30%,10.21%,-22.96%,-17.52%,-15.30%,-21.58%,3.35%,3.35%,-2.86%,-17.09%,-33.50%,19.80%,50.71,3.74,0.76,2.2,15,Industry 3.0,44.29,Feb 22/a,118.08,135.83
4072,JCI,Johnson Controls International plc,46.17B,Industrials,Engineering & Construction,Ireland,16.98,1.6,1.91,2.72,38.26,44.53,2.04%,52.30%,150.60%,19.66%,13.90%,19.02%,2.60%,19.30%,9.80%,0.20%,-7.64%,91.90%,-0.40%,0.97,3.70%,8.90%,7.70%,1,0.8,0.43,0.47,34.00%,11.90%,6.50%,5.91%,-16.02%,-2.84%,9.30%,-18.04%,2.46%,3.77%,0.87%,-7.13%,-18.21%,12.35%,55.58,46.17,10.56,1.9,19,Industry 3.0,50.14,Feb 02/b,66.88,82.44
4083,JELD,"JELD-WEN Holding, Inc.",1.85B,Industrials,Building Products & Equipment,USA,7.07,0.41,0.39,2.2,4.67,20.05,-,0.00%,90.50%,19.56%,31.40%,29.30%,5.40%,8.80%,11.80%,1.10%,246.88%,97.20%,-28.82%,4.63,4.30%,18.40%,9.00%,2,1.3,1.98,2.03,20.40%,5.60%,3.50%,-7.81%,-22.61%,-17.95%,-27.89%,-22.50%,4.29%,-10.44%,-12.18%,-20.75%,-36.07%,1.26%,36.83,1.85,0.41,1.1,16,Industry 3.0,48.16,Feb 22/b,20.12,29.33
4135,JOB,"GEE Group, Inc.",63.51M,Industrials,Staffing & Employment Services,USA,-,-,0.4,0.67,5.25,26.46,-,0.00%,-100.00%,-,14.35%,-,12.40%,909.10%,23.70%,11.98%,0.00%,22.80%,-34.99%,0.29,14.60%,24.10%,6.00%,2.5,2.5,0,0,35.40%,13.20%,10.80%,7.15%,-4.14%,25.21%,-55.27%,0.46%,6.02%,2.05%,2.28%,9.23%,-60.22%,42.79%,51.72,0.06,0.02,3.6,26,Industry 3.0,63.23,-,0.56,2
4136,JOBS,"51job, Inc.",3.96B,Industrials,Staffing & Employment Services,China,3.66,13.77,5.92,1.93,2.37,-,-,0.00%,-41.70%,29.13%,-0.60%,3.02%,13.60%,4.30%,15.70%,25.60%,0.00%,41.60%,-5.39%,6.04,3.90%,4.90%,2.80%,3.9,3.9,0.07,0.08,63.30%,12.90%,15.10%,7.30%,24.84%,-10.60%,-5.78%,23.24%,2.75%,9.97%,15.80%,-1.31%,-23.30%,40.29%,68.91,3.96,1.1,2.6,25,Industry 3.0,60.87,Mar 31/a,60.59,57.25
4137,JOBY,"Joby Aviation, Inc.",3.84B,Industrials,Airports & Air Services,USA,-,-,-,1.83,2.82,-,-,-,-,-19.20%,-,-,-,-,-,49.48%,0.10%,26.00%,3.87%,4.06,-16.10%,-18.70%,-,181.8,181.8,0,0,-,-,-,33.69%,-17.25%,-31.75%,-39.01%,-15.21%,9.72%,7.95%,20.48%,-24.60%,-58.16%,66.07%,54.79,3.84,0.83,0.7,23,Industry 4.0,47.62,Mar 24/a,5.99,11
4189,KAI,Kadant Inc.,2.29B,Industrials,Specialty Industrial Machinery,USA,20.76,3.45,2.91,4.1,25.06,16.55,0.50%,13.80%,51.10%,8.56%,20.20%,8.00%,13.70%,48.00%,29.80%,1.40%,-26.43%,97.80%,0.94%,4.09,7.90%,15.70%,10.70%,1.7,1.1,0.47,0.48,42.90%,14.80%,10.70%,1.27%,-12.53%,-2.66%,6.55%,-13.55%,2.16%,-1.26%,-2.74%,-5.34%,-18.58%,19.99%,46.4,2.29,0.53,2.3,29,Industry 3.0,50.3,Feb 16/a,195.79,227
4196,KAMN,Kaman Corporation,1.21B,Industrials,Aerospace & Defense,USA,19,2.77,1.71,1.52,8.62,134.92,1.85%,51.00%,161.60%,12.04%,-5.70%,10.00%,-17.10%,129.00%,-5.50%,0.60%,0.00%,92.70%,-3.08%,4.12,3.60%,5.60%,3.40%,4.5,2.9,0.24,0.24,33.40%,7.10%,6.20%,4.79%,-0.62%,17.18%,-19.64%,0.39%,2.76%,-0.90%,1.94%,3.38%,-25.28%,26.32%,48.12,1.21,0.28,0.6,16,Industry 3.0,50.89,Feb 24/a,42.86,48.5
4208,KBR,"KBR, Inc.",7.54B,Industrials,Engineering & Construction,USA,17.52,51.47,1.03,4.39,20.39,40.34,0.89%,228.30%,124.50%,20.48%,18.00%,17.21%,11.50%,223.70%,70.50%,1.00%,-0.22%,-,-2.05%,5.16,0.30%,1.10%,3.40%,1.1,1.1,1.1,1.11,11.00%,3.10%,0.20%,-2.17%,12.21%,33.35%,39.98%,13.44%,3.26%,2.30%,11.85%,26.03%,-1.85%,49.90%,60.01,7.54,1.83,1.5,22,Industry 4.0,53.31,Feb 22/b,55.03,61
4220,KE,"Kimball Electronics, Inc.",489.01M,Industrials,Electrical Equipment & Parts,USA,9.1,-,0.39,1.12,8.62,-,-,0.00%,268.10%,45.64%,28.10%,-,8.90%,-66.20%,-1.70%,0.70%,-10.81%,70.60%,4.97%,5.21,3.90%,7.40%,12.20%,1.7,0.9,0.09,0.23,7.60%,3.50%,2.60%,8.16%,-10.92%,-25.72%,-23.92%,-9.24%,2.66%,0.20%,3.48%,-13.40%,-36.61%,15.51%,50.61,0.49,0.12,3.7,21,Industry 4.0,53.84,Feb 07/a,19.41,33
4221,KELYA,"Kelly Services, Inc.",852.03M,Industrials,Staffing & Employment Services,USA,9.97,0.36,0.17,0.63,7.56,12.21,0.93%,1.30%,313.80%,28.51%,4.90%,15.00%,-1.40%,202.30%,0.70%,1.90%,0.57%,83.80%,-1.40%,3.47,5.60%,12.20%,2.40%,1.5,1.5,0,0,18.70%,1.40%,3.20%,3.28%,20.31%,11.03%,-8.14%,27.85%,3.71%,0.79%,7.33%,8.52%,-20.42%,35.16%,53.03,0.85,0.23,2.0,21,Industry 4.0,60.17,Feb 14/b,21.47,29.67
4228,KEX,Kirby Corporation,4.27B,Industrials,Marine Shipping,USA,20.48,-,1.9,1.45,122.8,19.11,-,-,9.60%,60.40%,-29.00%,3.20%,4.90%,-50.80%,20.70%,0.60%,-13.78%,96.70%,2.22%,2.87,-4.40%,-8.30%,-5.30%,1.8,1.2,0.4,0.4,26.40%,-11.50%,-11.00%,-0.23%,16.37%,42.47%,13.03%,17.27%,3.52%,-3.07%,2.50%,16.44%,-7.73%,45.61%,46.65,4.27,1.08,0.5,26,Industry 4.0,55.45,Jan 27/b,69.28,72.25
4233,KFRC,Kforce Inc.,1.58B,Industrials,Staffing & Employment Services,USA,15.94,1.4,1,8.03,16.32,34.12,1.39%,26.80%,35.30%,10.59%,23.20%,15.00%,3.70%,14.60%,15.90%,3.60%,-16.09%,88.20%,-1.67%,3.13,14.80%,40.60%,28.60%,2.3,2.3,0.53,0,28.90%,6.70%,4.80%,3.45%,-1.82%,19.93%,37.35%,-0.86%,2.81%,3.58%,4.83%,10.54%,-8.29%,40.21%,57.55,1.58,0.41,3.4,17,Industry 3.0,56.52,Feb 07/a,74.72,79.5
4235,KFY,Korn Ferry,3.51B,Industrials,Staffing & Employment Services,USA,11.38,0.8,1.42,2.29,3.82,-,0.73%,8.40%,10.40%,-4.81%,29.30%,15.00%,6.20%,63.30%,43.30%,0.70%,-2.56%,97.60%,-0.05%,2.04,9.70%,20.90%,6.10%,2,2,0.26,0.26,95.40%,17.50%,12.20%,3.63%,-13.73%,-12.76%,4.63%,-12.81%,2.90%,2.10%,0.32%,-7.64%,-22.31%,10.53%,51.71,3.51,0.97,2.0,24,Industry 3.0,60.76,Mar 09/b,65.79,97.25
4249,KIQ,Kelso Technologies Inc.,25.98M,Industrials,Railroads,Canada,-,-,3.81,1.86,-,-,-,-,-,-,-,-,-,-,32.00%,3.79%,0.00%,6.06%,-,8.79,-,-,-,-,-,-,-,-,-,-,-0.46%,4.09%,-21.21%,-54.40%,7.57%,6.62%,-4.02%,-2.09%,-16.97%,-57.28%,18.49%,45.36,0.03,0.01,1.4,21,Industry 4.0,46.12,Mar 28/b,0.47,-
4268,KMT,Kennametal Inc.,2.36B,Industrials,Tools & Accessories,USA,12.04,0.58,1.2,1.78,23.2,37.61,2.85%,53.90%,526.30%,27.98%,17.40%,33.10%,-2.60%,61.70%,10.50%,0.30%,0.40%,-,-1.33%,4.56,4.70%,9.50%,5.00%,2.4,1.1,0.45,0.46,32.90%,10.30%,6.30%,-7.83%,-23.37%,-19.80%,-33.34%,-21.94%,3.35%,-6.86%,-12.99%,-21.82%,-35.92%,0.40%,33.16,2.36,0.56,3.5,25,Industry 3.0,52.07,Feb 07/a,27.58,38
4275,KNOP,KNOT Offshore Partners LP,599.79M,Industrials,Marine Shipping,United Kingdom,9.49,1.28,2.13,1.03,9.63,7.94,11.72%,149.30%,-28.60%,28.08%,-10.80%,11.10%,10.10%,-38.10%,3.10%,26.31%,0.00%,19.50%,-2.09%,0.84,2.70%,7.90%,4.70%,0.6,0.6,1.52,1.67,74.30%,26.20%,16.40%,12.63%,20.76%,-8.56%,-2.10%,32.78%,3.26%,9.48%,12.95%,2.78%,-13.52%,42.54%,69.45,0.6,0.17,1.5,27,Industry 4.0,63.82,Mar 10/b,17.59,22
4280,KNX,Knight-Swift Transportation Holdings Inc.,8.29B,Industrials,Trucking,USA,9.42,1.07,1.38,1.19,31.77,13.99,0.85%,8.50%,85.10%,-5.50%,31.00%,9.80%,39.90%,80.70%,42.20%,0.30%,-39.29%,88.70%,-1.94%,4.49,7.80%,12.00%,8.50%,1.3,1.3,0.28,0.32,63.60%,16.10%,12.40%,-14.08%,-22.73%,-5.85%,-5.84%,-23.20%,3.40%,-13.37%,-15.55%,-15.02%,-26.87%,3.01%,26.78,8.29,2.22,0.6,29,Industry 4.0,58.62,Apr 20/b,45.55,68.37
4284,KODK,Eastman Kodak Company,564.09M,Industrials,Specialty Business Services,USA,-,-,0.49,0.69,1.56,-,-,0.00%,102.80%,-,-3.70%,-12.00%,-6.90%,-173.60%,3.40%,1.20%,-,29.70%,14.35%,3.49,1.30%,7.60%,-4.80%,2.6,1.9,0.32,0.33,14.30%,-4.00%,1.90%,50.88%,40.70%,3.15%,-17.21%,47.01%,8.73%,18.95%,39.44%,9.45%,-39.39%,97.54%,65.01,0.56,0.15,0.5,32,Industry 4.0,56.68,Mar 15/a,6.82,-
4312,KRNT,Kornit Digital Ltd.,4.11B,Industrials,Specialty Industrial Machinery,Israel,52.62,-,12.78,4.68,6.34,105.22,-,0.00%,382.50%,61.79%,65.00%,-,24.30%,-85.40%,21.00%,0.54%,0.00%,97.50%,6.51%,4.14,2.10%,2.40%,1.40%,8,7.4,0,0,47.20%,4.00%,4.80%,6.80%,-42.08%,-38.99%,-19.76%,-43.07%,6.53%,5.09%,-3.95%,-32.39%,-52.62%,20.38%,50.52,4.11,0.86,0.6,15,Industry 3.0,46.07,Feb 15/b,85.93,158.62
4324,KSCP,"Knightscope, Inc.",4.11B,Industrials,Security & Protection Services,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.60%,-,-,-,-,0.03,-,-,-,-,-,-,-,-,-,-,-19.36%,-,-,-,-14.72%,10.57%,-5.75%,-29.34%,-29.34%,-81.67%,12.00%,45.93,4.11,0.9,3.1,33,Industry 3.0,48.26,-,5.04,-
4334,KTOS,"Kratos Defense & Security Solutions, Inc.",2.70B,Industrials,Aerospace & Defense,USA,40.97,-,3.33,2.88,7.72,-,-,-,-99.90%,42.78%,14.90%,2.00%,8.40%,-102.10%,2.50%,0.90%,-15.94%,84.90%,-1.91%,2.17,-0.10%,-0.20%,1.90%,3.4,3,0.36,0.36,27.70%,3.40%,-0.20%,9.40%,11.35%,-0.95%,-23.60%,12.78%,4.34%,6.72%,15.17%,-1.74%,-29.81%,42.40%,60.11,2.7,0.6,3.6,29,Industry 4.0,48.58,Feb 22/a,21.26,23.21
4372,LAWS,"Lawson Products, Inc.",339.68M,Industrials,Industrial Distribution,USA,12.77,2.48,0.81,2.55,80.88,-,-,0.00%,-37.90%,16.50%,49.30%,15.00%,8.60%,-460.50%,4.10%,0.70%,0.00%,92.40%,5.28%,2.51,3.70%,7.20%,6.50%,1.8,0.8,0.09,0.09,52.50%,2.90%,2.30%,-1.03%,-29.81%,-26.66%,-29.03%,-31.67%,4.25%,-3.57%,-12.94%,-26.11%,-41.64%,3.25%,37.12,0.34,0.07,2.8,29,Industry 4.0,45.48,Feb 24/b,36.24,61
4409,LECO,"Lincoln Electric Holdings, Inc.",7.98B,Industrials,Tools & Accessories,USA,16.98,2.5,2.47,9.24,41.35,44.16,1.65%,43.80%,34.50%,11.15%,9.60%,11.80%,7.30%,15.60%,21.70%,1.20%,-14.93%,75.90%,-1.73%,2.83,11.00%,32.70%,25.30%,1.7,1,0.83,0.89,33.20%,11.80%,8.50%,5.72%,-2.38%,2.67%,9.59%,-2.65%,1.96%,0.15%,2.53%,-1.73%,-10.50%,11.14%,49.95,7.98,1.93,3.9,33,Industry 3.0,53.04,Apr 28/b,132.95,154.29
4425,LEV,The Lion Electric Company,1.64B,Industrials,Farm & Heavy Construction Machinery,Canada,125.07,-,28.37,4.32,6.77,-,-,-,48.30%,-,-,-,-,128.80%,-2.10%,53.70%,0.00%,6.70%,15.01%,13.31,-9.40%,-21.90%,-27.00%,6.6,4.7,0.15,0.2,0.10%,-,-75.10%,12.18%,-16.12%,-27.45%,-50.97%,-15.69%,5.66%,-1.32%,-0.10%,-28.78%,-64.90%,21.57%,47.48,1.64,0.29,3.1,15,Industry 4.0,38.78,Feb 24/a,8.23,13.08
4451,LGMK,"LogicMark, Inc.",19.59M,Industrials,Security & Protection Services,USA,-,-,1.92,0.04,1.22,-,-,-,-30.30%,-,52.70%,-,79.30%,-286.70%,-7.70%,6.80%,0.00%,15.60%,-30.77%,0.88,-33.00%,-52.20%,-3.10%,4.5,4.3,0,0,62.40%,-20.80%,-98.60%,-11.76%,-37.50%,-43.91%,-84.44%,-31.37%,11.72%,-9.15%,-16.69%,-52.39%,-85.38%,11.19%,43.19,0.02,0.0,0.7,25,Industry 3.0,53.52,Mar 30/b,2.12,-
4467,LHX,"L3Harris Technologies, Inc.",47.87B,Industrials,Aerospace & Defense,USA,17.14,4.48,2.69,2.57,50.87,31.33,1.61%,44.40%,75.10%,8.35%,12.50%,6.20%,24.70%,169.20%,-6.70%,0.10%,-5.79%,81.50%,-4.66%,1.25,5.20%,9.40%,6.20%,1.4,1.2,0.37,0.37,30.20%,11.60%,10.40%,-5.34%,19.41%,15.66%,20.70%,18.48%,2.91%,2.24%,8.80%,13.54%,-7.78%,28.53%,58.21,47.87,12.06,1.8,20,Industry 4.0,55.24,Jan 31/b,257.96,271.44
4473,LICY,Li-Cycle Holdings Corp.,1.54B,Industrials,Waste Management,Canada,-,-,447.01,2.75,2.8,-,-,-,-,93.50%,-,-,-,687.00%,840.50%,31.39%,0.00%,27.00%,-11.79%,2.2,-,-,-6.00%,27.1,27,0.17,0.17,-,-,-,32.21%,-14.40%,-24.12%,-18.14%,-13.45%,8.26%,-3.94%,3.89%,-19.90%,-44.05%,33.17%,48.83,1.54,0.36,1.0,26,Industry 3.0,51.43,Mar 17/b,7.99,13
4476,LII,Lennox International Inc.,9.43B,Industrials,Specialty Industrial Machinery,USA,17.02,1.38,2.25,-,258.31,33.41,1.41%,28.30%,33.70%,9.24%,14.30%,15.26%,2.90%,-22.20%,5.60%,1.20%,-6.19%,70.00%,3.48%,3.87,21.60%,-189.90%,50.90%,1.4,0.8,-,-,28.30%,14.10%,11.10%,-2.95%,-16.69%,-11.60%,-19.88%,-19.32%,2.70%,0.12%,-0.70%,-13.36%,-25.70%,8.55%,49.16,9.43,2.12,3.4,29,Industry 4.0,49.34,Feb 01/b,264.78,303.8
4479,LILM,Lilium N.V.,1.43B,Industrials,Aerospace & Defense,Germany,-,-,30480.47,0.7,4775.27,-,-,-,-,23.90%,-,-,-,-,-51.50%,29.93%,0.00%,11.90%,7.10%,1.54,-,-,-,0.2,0.2,0,0,-,-,-,58.82%,-36.55%,-45.45%,-52.35%,-29.87%,18.31%,42.58%,27.73%,-33.14%,-55.40%,140.74%,65.51,1.43,0.32,0.9,22,Industry 4.0,48.7,-,5.2,14.41
4480,LILMW,Lilium N.V.,1.43B,Industrials,Aerospace & Defense,Germany,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70.49%,-39.61%,-57.33%,-55.14%,-36.17%,27.91%,38.38%,20.82%,-43.57%,-68.27%,149.76%,61.45,1.43,0.32,3.8,32,Industry 3.0,49.02,-,0.79,-
4484,LIQT,"LiqTech International, Inc.",52.10M,Industrials,Pollution & Treatment Controls,Denmark,-,-,2.85,3.37,2.71,-,-,-,-4.30%,125.00%,-15.60%,25.00%,7.30%,24.60%,17.10%,8.80%,8.81%,45.50%,3.70%,9.35,-29.30%,-64.90%,-25.70%,2.1,1.8,0.71,1.11,8.60%,-64.60%,-71.70%,-55.68%,-58.23%,-53.14%,-70.22%,-56.99%,7.09%,-41.87%,-51.58%,-54.95%,-70.57%,8.37%,15.89,0.05,0.01,4.0,16,Industry 3.0,56.31,Mar 24/b,2.53,6
4509,LMB,"Limbach Holdings, Inc.",75.67M,Industrials,Engineering & Construction,USA,6.39,0.98,0.15,0.85,5.22,-,-,0.00%,-8.30%,48.68%,22.50%,12.00%,1.90%,788.00%,-2.80%,6.50%,12.40%,45.50%,1.21%,0.26,2.60%,8.20%,7.30%,1.5,1.5,0.34,0.45,17.50%,2.40%,1.40%,-9.41%,-17.39%,10.06%,-32.52%,-19.78%,6.18%,1.96%,-5.38%,-8.21%,-38.71%,23.50%,50.03,0.08,0.02,2.2,28,Industry 3.0,47.09,Mar 16/a,7.2,16.5
4517,LMT,Lockheed Martin Corporation,117.13B,Industrials,Aerospace & Defense,USA,16.26,2.38,1.75,11.06,32.5,24.61,2.52%,46.40%,-7.10%,2.68%,13.50%,8.20%,7.20%,17.20%,4.10%,0.08%,-9.43%,76.30%,-1.41%,2,12.20%,75.60%,34.80%,1.4,1.2,1.06,1.07,13.60%,13.60%,9.40%,-3.09%,25.30%,28.33%,17.16%,24.93%,2.74%,1.54%,7.33%,20.70%,-6.51%,38.40%,57.65,117.13,30.4,3.0,23,Industry 4.0,56.9,Jan 25/b,448.74,458.59
4523,LNN,Lindsay Corporation,1.68B,Industrials,Farm & Heavy Construction Machinery,USA,26.65,1.64,2.69,4.76,14.63,-,0.89%,32.90%,10.30%,19.30%,16.10%,22.90%,1.90%,10.00%,53.20%,0.60%,-1.17%,91.80%,1.37%,3.96,6.90%,13.00%,10.30%,2.9,1.7,0.34,0.34,25.00%,9.60%,6.90%,8.43%,-2.83%,-4.03%,-12.98%,-2.05%,2.57%,-2.32%,6.68%,-2.99%,-18.17%,24.03%,49.03,1.68,0.42,3.5,21,Industry 3.0,55.18,Apr 05/b,146.7,184
4553,LPX,Louisiana-Pacific Corporation,5.40B,Industrials,Building Products & Equipment,USA,9.29,0.89,1.19,4.44,15.08,4.63,1.15%,5.30%,215.40%,-45.41%,68.50%,5.00%,15.30%,-7.20%,15.30%,1.20%,0.52%,96.70%,-6.77%,3.23,59.20%,101.30%,87.60%,2.5,1.6,0.28,0.28,45.50%,40.00%,30.30%,-10.21%,-20.05%,1.98%,3.38%,-20.42%,4.90%,-5.26%,-6.85%,-3.48%,-21.21%,25.40%,42,5.4,1.51,1.4,17,Industry 4.0,61.51,Feb 22/b,62.85,85.75
4574,LSTR,"Landstar System, Inc.",5.71B,Industrials,Integrated Freight & Logistics,USA,14.86,0.66,0.87,6.27,22.73,40.4,0.70%,9.20%,100.50%,-11.63%,25.10%,21.80%,15.60%,76.30%,50.00%,0.60%,1.05%,-,-0.78%,4.25,21.10%,45.50%,35.40%,1.5,1.5,0.09,0.26,14.00%,7.70%,5.80%,-8.91%,-19.03%,-8.06%,-14.46%,-19.42%,2.98%,-7.99%,-8.87%,-12.50%,-24.13%,1.73%,33.34,5.71,1.41,1.9,30,Industry 4.0,54.21,Apr 20/a,141.52,167.08
